PAGE pfn: 0, ar: 0, fc: 0, num_access: 0, ar_ratio: nan , fc_ratio: nan
PAGE pfn: 0x7f48c8c2a, ar: 1121, fc: 365, num_access: 1132, ar_ratio: 99.0 , fc_ratio: 32.2
PAGE pfn: 0x7f48c8c19, ar: 568, fc: 191, num_access: 591, ar_ratio: 96.1 , fc_ratio: 32.3
PAGE pfn: 0x7f48c8c2c, ar: 702, fc: 269, num_access: 742, ar_ratio: 94.6 , fc_ratio: 36.3
PAGE pfn: 0x7f48c8c82, ar: 672, fc: 170, num_access: 682, ar_ratio: 98.5 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8c25, ar: 783, fc: 199, num_access: 798, ar_ratio: 98.1 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8c1d, ar: 904, fc: 235, num_access: 927, ar_ratio: 97.5 , fc_ratio: 25.4
PAGE pfn: 0x7f48c8c22, ar: 842, fc: 325, num_access: 868, ar_ratio: 97.0 , fc_ratio: 37.4
PAGE pfn: 0x7f48c8c10, ar: 998, fc: 242, num_access: 1021, ar_ratio: 97.7 , fc_ratio: 23.7
PAGE pfn: 0x7f48c8c29, ar: 831, fc: 270, num_access: 864, ar_ratio: 96.2 , fc_ratio: 31.2
PAGE pfn: 0x7f48c8c0d, ar: 926, fc: 223, num_access: 949, ar_ratio: 97.6 , fc_ratio: 23.5
PAGE pfn: 0x7f48c8c1e, ar: 969, fc: 105, num_access: 982, ar_ratio: 98.7 , fc_ratio: 10.7
PAGE pfn: 0x7f48c8c20, ar: 971, fc: 197, num_access: 982, ar_ratio: 98.9 , fc_ratio: 20.1
PAGE pfn: 0x7f48c8c24, ar: 821, fc: 256, num_access: 881, ar_ratio: 93.2 , fc_ratio: 29.1
PAGE pfn: 0x7f48c8c2f, ar: 1890, fc: 266, num_access: 1912, ar_ratio: 98.8 , fc_ratio: 13.9
PAGE pfn: 0x7f48c8c83, ar: 672, fc: 170, num_access: 682, ar_ratio: 98.5 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8c30, ar: 2727, fc: 917, num_access: 2811, ar_ratio: 97.0 , fc_ratio: 32.6
PAGE pfn: 0x7f48c8c23, ar: 817, fc: 298, num_access: 834, ar_ratio: 98.0 , fc_ratio: 35.7
PAGE pfn: 0x7f48c8c31, ar: 2107, fc: 629, num_access: 2186, ar_ratio: 96.4 , fc_ratio: 28.8
PAGE pfn: 0x7f48c8c0c, ar: 620, fc: 141, num_access: 643, ar_ratio: 96.4 , fc_ratio: 21.9
PAGE pfn: 0x7f48c8c13, ar: 893, fc: 239, num_access: 909, ar_ratio: 98.2 , fc_ratio: 26.3
PAGE pfn: 0x7f48c8c84, ar: 672, fc: 169, num_access: 681, ar_ratio: 98.7 , fc_ratio: 24.8
PAGE pfn: 0x7f48c8c28, ar: 618, fc: 144, num_access: 629, ar_ratio: 98.3 , fc_ratio: 22.9
PAGE pfn: 0x7f48c8c32, ar: 1217, fc: 596, num_access: 1277, ar_ratio: 95.3 , fc_ratio: 46.7
PAGE pfn: 0x7f48c8c33, ar: 5547, fc: 926, num_access: 5556, ar_ratio: 99.8 , fc_ratio: 16.7
PAGE pfn: 0x7f48c8a8f, ar: 1242, fc: 437, num_access: 1269, ar_ratio: 97.9 , fc_ratio: 34.4
PAGE pfn: 0x7f48c8c34, ar: 3194, fc: 1189, num_access: 3339, ar_ratio: 95.7 , fc_ratio: 35.6
PAGE pfn: 0x7f48c8c85, ar: 672, fc: 170, num_access: 682, ar_ratio: 98.5 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8c09, ar: 87, fc: 39, num_access: 102, ar_ratio: 85.3 , fc_ratio: 38.2
PAGE pfn: 0x7f48c8c35, ar: 947, fc: 770, num_access: 988, ar_ratio: 95.9 , fc_ratio: 77.9
PAGE pfn: 0x7f48c8c86, ar: 672, fc: 170, num_access: 682, ar_ratio: 98.5 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8c36, ar: 2678, fc: 698, num_access: 2738, ar_ratio: 97.8 , fc_ratio: 25.5
PAGE pfn: 0x7f48c8c39, ar: 3923, fc: 1023, num_access: 3986, ar_ratio: 98.4 , fc_ratio: 25.7
PAGE pfn: 0x7f48c8c87, ar: 672, fc: 169, num_access: 681, ar_ratio: 98.7 , fc_ratio: 24.8
PAGE pfn: 0x7f48c8c3a, ar: 249, fc: 312, num_access: 312, ar_ratio: 79.8 , fc_ratio: 100.0
PAGE pfn: 0x7f48c8c38, ar: 3419, fc: 653, num_access: 3446, ar_ratio: 99.2 , fc_ratio: 18.9
PAGE pfn: 0x7f48c8c88, ar: 672, fc: 170, num_access: 682, ar_ratio: 98.5 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8c3b, ar: 1317, fc: 617, num_access: 1351, ar_ratio: 97.5 , fc_ratio: 45.7
PAGE pfn: 0x7f48c8c3c, ar: 562, fc: 445, num_access: 625, ar_ratio: 89.9 , fc_ratio: 71.2
PAGE pfn: 0x7f48c8c41, ar: 488, fc: 226, num_access: 519, ar_ratio: 94.0 , fc_ratio: 43.5
PAGE pfn: 0x7f48c8c42, ar: 5692, fc: 790, num_access: 5707, ar_ratio: 99.7 , fc_ratio: 13.8
PAGE pfn: 0x7f48c8c89, ar: 672, fc: 170, num_access: 682, ar_ratio: 98.5 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8c8a, ar: 672, fc: 169, num_access: 681, ar_ratio: 98.7 , fc_ratio: 24.8
PAGE pfn: 0x7f48c8c43, ar: 6754, fc: 1037, num_access: 6795, ar_ratio: 99.4 , fc_ratio: 15.3
PAGE pfn: 0x7f48c8c8b, ar: 672, fc: 170, num_access: 682, ar_ratio: 98.5 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8c44, ar: 1386, fc: 196, num_access: 1417, ar_ratio: 97.8 , fc_ratio: 13.8
PAGE pfn: 0x7f48c8c47, ar: 1188, fc: 158, num_access: 1229, ar_ratio: 96.7 , fc_ratio: 12.9
PAGE pfn: 0x7f48c8c8c, ar: 672, fc: 170, num_access: 682, ar_ratio: 98.5 , fc_ratio: 24.9
PAGE pfn: 0x7f48c8c45, ar: 2928, fc: 1239, num_access: 2991, ar_ratio: 97.9 , fc_ratio: 41.4
PAGE pfn: 0x7f48c8c48, ar: 307, fc: 434, num_access: 434, ar_ratio: 70.7 , fc_ratio: 100.0
PAGE pfn: 0x7f48c8c46, ar: 320, fc: 222, num_access: 341, ar_ratio: 93.8 , fc_ratio: 65.1
PAGE pfn: 0x7f48c8c4e, ar: 977, fc: 716, num_access: 1040, ar_ratio: 93.9 , fc_ratio: 68.8
PAGE pfn: 0x7f48c8c4f, ar: 2178, fc: 809, num_access: 2241, ar_ratio: 97.2 , fc_ratio: 36.1
PAGE pfn: 0x7f48c8c4b, ar: 1176, fc: 704, num_access: 1210, ar_ratio: 97.2 , fc_ratio: 58.2
