PAGE pfn: 0, ar: 0, fc: 0, num_access: 0, ar_ratio: nan , fc_ratio: nan
PAGE pfn: 0x7f01b7c33, ar: 5547, fc: 87, num_access: 5556, ar_ratio: 99.8 , fc_ratio: 1.6
PAGE pfn: 0x7f01b7a51, ar: 1242, fc: 125, num_access: 1269, ar_ratio: 97.9 , fc_ratio: 9.9
PAGE pfn: 0x7f01b7c34, ar: 3194, fc: 581, num_access: 3339, ar_ratio: 95.7 , fc_ratio: 17.4
PAGE pfn: 0x7f01b7c85, ar: 672, fc: 42, num_access: 682, ar_ratio: 98.5 , fc_ratio: 6.2
PAGE pfn: 0x7f01b7c09, ar: 87, fc: 35, num_access: 102, ar_ratio: 85.3 , fc_ratio: 34.3
PAGE pfn: 0x7f01b7c35, ar: 947, fc: 249, num_access: 988, ar_ratio: 95.9 , fc_ratio: 25.2
PAGE pfn: 0x7f01b7c86, ar: 672, fc: 42, num_access: 682, ar_ratio: 98.5 , fc_ratio: 6.2
PAGE pfn: 0x7f01b7c36, ar: 2678, fc: 205, num_access: 2738, ar_ratio: 97.8 , fc_ratio: 7.5
PAGE pfn: 0x7f01b7c39, ar: 3923, fc: 255, num_access: 3986, ar_ratio: 98.4 , fc_ratio: 6.4
PAGE pfn: 0x7f01b7c87, ar: 672, fc: 41, num_access: 681, ar_ratio: 98.7 , fc_ratio: 6.0
PAGE pfn: 0x7f01b7c3a, ar: 249, fc: 255, num_access: 312, ar_ratio: 79.8 , fc_ratio: 81.7
PAGE pfn: 0x7f01b7c38, ar: 3419, fc: 175, num_access: 3446, ar_ratio: 99.2 , fc_ratio: 5.1
PAGE pfn: 0x7f01b7c88, ar: 672, fc: 42, num_access: 682, ar_ratio: 98.5 , fc_ratio: 6.2
PAGE pfn: 0x7f01b7c3b, ar: 1317, fc: 162, num_access: 1351, ar_ratio: 97.5 , fc_ratio: 12.0
PAGE pfn: 0x7f01b7c3c, ar: 562, fc: 255, num_access: 625, ar_ratio: 89.9 , fc_ratio: 40.8
PAGE pfn: 0x7f01b7c41, ar: 488, fc: 82, num_access: 519, ar_ratio: 94.0 , fc_ratio: 15.8
PAGE pfn: 0x7f01b7c42, ar: 5692, fc: 399, num_access: 5707, ar_ratio: 99.7 , fc_ratio: 7.0
PAGE pfn: 0x7f01b7c89, ar: 672, fc: 42, num_access: 682, ar_ratio: 98.5 , fc_ratio: 6.2
PAGE pfn: 0x7f01b7c8a, ar: 672, fc: 41, num_access: 681, ar_ratio: 98.7 , fc_ratio: 6.0
PAGE pfn: 0x7f01b7c43, ar: 6754, fc: 41, num_access: 6795, ar_ratio: 99.4 , fc_ratio: 0.6
PAGE pfn: 0x7f01b7c8b, ar: 672, fc: 42, num_access: 682, ar_ratio: 98.5 , fc_ratio: 6.2
PAGE pfn: 0x7f01b7c44, ar: 1386, fc: 135, num_access: 1417, ar_ratio: 97.8 , fc_ratio: 9.5
PAGE pfn: 0x7f01b7c47, ar: 1188, fc: 105, num_access: 1229, ar_ratio: 96.7 , fc_ratio: 8.5
PAGE pfn: 0x7f01b7c8c, ar: 672, fc: 42, num_access: 682, ar_ratio: 98.5 , fc_ratio: 6.2
PAGE pfn: 0x7f01b7c45, ar: 2928, fc: 255, num_access: 2991, ar_ratio: 97.9 , fc_ratio: 8.5
PAGE pfn: 0x7f01b7c48, ar: 307, fc: 417, num_access: 434, ar_ratio: 70.7 , fc_ratio: 96.1
PAGE pfn: 0x7f01b7c46, ar: 320, fc: 119, num_access: 341, ar_ratio: 93.8 , fc_ratio: 34.9
PAGE pfn: 0x7f01b7c4e, ar: 977, fc: 255, num_access: 1040, ar_ratio: 93.9 , fc_ratio: 24.5
PAGE pfn: 0x7f01b7c4f, ar: 2178, fc: 255, num_access: 2241, ar_ratio: 97.2 , fc_ratio: 11.4
PAGE pfn: 0x7f01b7c4b, ar: 1176, fc: 226, num_access: 1210, ar_ratio: 97.2 , fc_ratio: 18.7
PAGE pfn: 0x7f01b7c4c, ar: 786, fc: 180, num_access: 828, ar_ratio: 94.9 , fc_ratio: 21.7
PAGE pfn: 0x7f01b7c8d, ar: 672, fc: 41, num_access: 681, ar_ratio: 98.7 , fc_ratio: 6.0
PAGE pfn: 0x7f01b7c4d, ar: 496, fc: 99, num_access: 531, ar_ratio: 93.4 , fc_ratio: 18.6
PAGE pfn: 0x7f01b7c52, ar: 2600, fc: 255, num_access: 2663, ar_ratio: 97.6 , fc_ratio: 9.6
PAGE pfn: 0x7f01b7c50, ar: 486, fc: 3, num_access: 489, ar_ratio: 99.4 , fc_ratio: 0.6
PAGE pfn: 0x7f01b7c51, ar: 747, fc: 224, num_access: 779, ar_ratio: 95.9 , fc_ratio: 28.8
PAGE pfn: 0x7f01b7c53, ar: 2742, fc: 149, num_access: 2763, ar_ratio: 99.2 , fc_ratio: 5.4
PAGE pfn: 0x7f01b7c8e, ar: 672, fc: 42, num_access: 682, ar_ratio: 98.5 , fc_ratio: 6.2
